,protName,core,fcc,r,zp,eads,psi,theta,ph,sd,eave
191,1hzh,Ag,111,45.0,0.0,-155.7954,175.0,35.0,6.8,18.460611,-155.79539968949487
192,1hzh,Ag,111,25.0,0.0,-166.63506,180.0,35.0,6.8,20.7141357,-166.6350428148024
193,1hzh,Ag,111,45.0,-50.0,-154.00927,185.0,40.0,6.8,11.798068200000001,-153.76628982480338
194,1hzh,Ag,111,30.0,-30.0,-173.26062,120.0,70.0,6.8,22.471254000000002,-173.26061999999953
195,1hzh,Ag,111,15.0,-10.0,-156.97854,85.0,90.0,6.8,22.876252500000003,-156.80790945181226
196,1hzh,Ag,111,25.0,-30.0,-180.89938,180.0,35.0,6.8,7.7290596,-180.89937961453757
197,1hzh,Ag,111,2.0,-30.0,-113.39263,0.0,170.0,6.8,11.1638901,-113.22449941297417
198,1hzh,Ag,111,50.0,-50.0,-153.54743,175.0,35.0,6.8,20.943439800000004,-153.54210926185672
199,1hzh,Ag,111,8.0,-50.0,-148.01456,175.0,25.0,6.8,11.5350246,-147.64561030499112
200,1hzh,Ag,111,40.0,-20.0,-151.80647,175.0,35.0,6.8,12.825840600000001,-151.80613042873708
201,1hzh,Ag,111,40.0,-60.0,-154.96666,175.0,35.0,6.8,13.254743100000002,-154.96593917150471
202,1hzh,Ag,111,35.0,-10.0,-158.62539,120.0,70.0,6.8,33.984018,-158.5012339474078
203,1hzh,Ag,111,4.0,-10.0,-119.62763,175.0,20.0,6.8,13.5808584,-119.53780366270533
204,1hzh,Ag,111,8.0,-60.0,-162.19938,180.0,25.0,6.8,9.942968400000002,-162.19937831863203
205,1hzh,Ag,111,10.0,-20.0,-140.36032,120.0,55.0,6.8,24.274412400000003,-140.25881422399098
206,1hzh,Ag,111,10.0,-10.0,-148.1218,175.0,25.0,6.8,9.629701500000001,-147.99030708418383
207,1hzh,Ag,111,30.0,-60.0,-150.63574,180.0,35.0,6.8,25.163466900000003,-150.2168010034872
208,1hzh,Ag,111,25.0,-50.0,-169.96158,5.0,130.0,6.8,12.5447196,-169.96138364103547
209,1hzh,Ag,111,2.0,-50.0,-106.97109,355.0,170.0,6.8,11.883798900000002,-106.81494444290287
210,1hzh,Ag,111,35.0,-20.0,-156.03145,85.0,85.0,6.8,27.7911141,-155.87274935058377
211,1hzh,Ag,111,50.0,-40.0,-150.91139,85.0,85.0,6.8,27.626126700000004,-150.8294976781658
212,1hzh,Ag,111,10.0,0.0,-152.21638,260.0,170.0,6.8,55.9876749,-151.89127346478892
213,1hzh,Ag,111,8.0,-40.0,-145.75361,175.0,25.0,6.8,8.5861674,-145.75360360332715
214,1hzh,Ag,111,30.0,-50.0,-166.90457,180.0,35.0,6.8,25.2115239,-166.90453834319848
215,1hzh,Ag,111,15.0,-20.0,-164.84204,120.0,60.0,6.8,10.6097406,-164.81758713687856
216,1hzh,Ag,111,45.0,-30.0,-161.60447,120.0,70.0,6.8,23.9847507,-161.60444519872433
217,1hzh,Ag,111,4.0,-30.0,-126.46759,175.0,20.0,6.8,3.2443704,-126.46704629958906
218,1hzh,Ag,111,45.0,-10.0,-159.52305,180.0,35.0,6.8,13.736607900000001,-159.52280228924747
219,1hzh,Ag,111,25.0,-10.0,-170.88737,5.0,130.0,6.8,13.0777788,-170.88447100440513
220,1hzh,Ag,111,15.0,-30.0,-157.58929,175.0,30.0,6.8,22.783948200000005,-157.38522856960844
221,1hzh,Ag,111,40.0,0.0,-141.43173,85.0,85.0,6.8,32.9440695,-141.05754223556144
222,1hzh,Ag,111,30.0,0.0,-168.14988,80.0,85.0,6.8,27.5041665,-168.11084425547176
223,1hzh,Ag,111,8.0,0.0,-142.8951,175.0,25.0,6.8,9.050004600000001,-142.8932359672624
224,1hzh,Ag,111,8.0,-30.0,-141.64573,120.0,50.0,6.8,9.3569469,-141.58064511150795
225,1hzh,Ag,111,30.0,-40.0,-157.24741,180.0,35.0,6.8,32.6794572,-156.93152498906537
226,1hzh,Ag,111,2.0,-10.0,-108.75531,0.0,170.0,6.8,9.1499532,-108.75315115664347
227,1hzh,Ag,111,25.0,-60.0,-168.31122,5.0,130.0,6.8,12.057327,-168.3112191260721
228,1hzh,Ag,111,2.0,-20.0,-110.41446,355.0,170.0,6.8,9.205679400000001,-110.37733071847872
229,1hzh,Ag,111,20.0,-20.0,-147.8343,85.0,90.0,6.8,25.384354800000004,-147.59346283955128
230,1hzh,Ag,111,25.0,-20.0,-159.79163,120.0,65.0,6.8,39.051616200000005,-159.71011871256565
231,1hzh,Ag,111,4.0,-20.0,-128.46862,175.0,20.0,6.8,6.5928975,-128.46841575381754
232,1hzh,Ag,111,45.0,-20.0,-150.65726,0.0,130.0,6.8,30.303175500000002,-150.64008454033802
233,1hzh,Ag,111,4.0,0.0,-129.27609,175.0,20.0,6.8,5.2222521,-129.27580714677464
